Branch,Number,Merged,Author,Title,Report,Beta,Release,SHA,URL,Comment
"main","11392","2026-08-12","app/dependabot","chore(deps): bump org.apache.httpcomponents.client5:httpclient5 from 5.6.2 to 5.6.3","Exclude","-","Not released yet","-","040b6d5e1bc00196efc7c8a23e69e740656ead8b","https://github.com/thunderbird/thunderbird-android/pull/11392",""
"main","11394","2026-08-12","app/dependabot","chore(deps): bump com.github.ben-manes.versions from 0.58.0 to 0.60.0","Exclude","-","Not released yet","-","dab9f5333d85578646ba231caa74528fdd14f6f4","https://github.com/thunderbird/thunderbird-android/pull/11394",""
"main","11395","2026-08-12","app/dependabot","chore(deps): bump com.google.devtools.ksp from 2.3.10 to 2.3.11","Exclude","-","Not released yet","-","01f226b334bb98e8d91253550f6a8ac85261dbc7","https://github.com/thunderbird/thunderbird-android/pull/11395",""
"main","11371","2026-08-12","harshasiddartha","fix(thundermail): center wrapped buttons in Thundermail panel","Include","-","Not released yet","-","20f083a2b7504944e4cf6ad889bedd497d159c92","https://github.com/thunderbird/thunderbird-android/pull/11371",""
"main","11391","2026-08-13","app/dependabot","chore(deps): bump com.squareup.okio:okio from 3.18.0 to 3.18.1","Exclude","-","Not released yet","-","dc1d56c7217029e36f1564982326512441ef5dc2","https://github.com/thunderbird/thunderbird-android/pull/11391",""
"main","11386","2026-08-13","rafaeltonholo","chore(deps): bump compileSdk to 37 and add jvm toolchain configuration","Exclude","-","Not released yet","-","74b8f7abfc1926601369a6dda822ac8d12bff648","https://github.com/thunderbird/thunderbird-android/pull/11386",""
"main","11400","2026-08-13","rafaeltonholo","feat(weblate): add feature-thundermail-api component to managed list","Exclude","-","Not released yet","-","74fe11a41b792cf972381111aa7ecc08332127a2","https://github.com/thunderbird/thunderbird-android/pull/11400",""
"main","11398","2026-08-13","app/github-actions","chore(i18n): translations update from Weblate","Include","-","Not released yet","-","b6aa80aee18986045ae65120cfaf7491dd99baf2","https://github.com/thunderbird/thunderbird-android/pull/11398",""
"main","11283","2026-08-17","app/dependabot","chore(deps): bump jetbrainsComposeLifecycle from 2.10.0 to 2.11.0","Exclude","-","Not released yet","-","ed0bc6218e1b9ff909b775ea049c7cd368f9504c","https://github.com/thunderbird/thunderbird-android/pull/11283",""
"main","11373","2026-08-17","rafaeltonholo","feat(feature-flag): add catalog model and local data source","Exclude","-","Not released yet","-","279207ce8895932db3f738c041d23c675819de1f","https://github.com/thunderbird/thunderbird-android/pull/11373",""
"main","11408","2026-08-17","rafaeltonholo","feat(feature-flag): add bundled catalog provider","Exclude","-","Not released yet","-","64636b23aa2fe7d0acecf399bb5fb9709d462727","https://github.com/thunderbird/thunderbird-android/pull/11408",""
"main","11403","2026-08-17","dani-zilla","docs(RFC): Add RFC for Defaulting IMAP IDLE (Push) On for New Accounts","Exclude","-","Not released yet","-","217c477a070c14662c1c84abaa8bdfd4fd905fea","https://github.com/thunderbird/thunderbird-android/pull/11403",""
"main","11401","2026-08-18","rafaeltonholo","feat(message-reader): introduce the Message Reader actions bottom sheet","Highlight","-","Not released yet","-","613313c634473e01290e8a3fb73ee72f48b264c4","https://github.com/thunderbird/thunderbird-android/pull/11401",""
"main","11422","2026-08-18","app/dependabot","chore(deps): bump ch.qos.logback:logback-classic from 1.6.1 to 1.6.2","Exclude","-","Not released yet","-","1d12dd52b6887e19bc301e983b5d865d80f4a192","https://github.com/thunderbird/thunderbird-android/pull/11422",""
"main","11412","2026-08-19","rafaeltonholo","feat(feature-flag): add runtime feature flag provider and multi-provider evaluator","Exclude","-","Not released yet","-","f527dabe0a3196b8be16ff6e29dee0d853583a0a","https://github.com/thunderbird/thunderbird-android/pull/11412",""
"main","11419","2026-08-19","app/dependabot","chore(deps): bump com.github.ben-manes.versions from 0.60.0 to 0.61.0","Exclude","-","Not released yet","-","d82cd5f264d551d4c49b083c64088b137623d6f8","https://github.com/thunderbird/thunderbird-android/pull/11419",""
"main","11420","2026-08-19","app/dependabot","chore(deps): bump io.nlopez.compose.rules:detekt from 0.6.3 to 0.6.4","Exclude","-","Not released yet","-","c51eb98267ae96f4fb93e164c63d73b5593b9e6c","https://github.com/thunderbird/thunderbird-android/pull/11420",""
"main","11423","2026-08-19","app/dependabot","chore(deps): bump org.apache.httpcomponents.client5:httpclient5 from 5.6.3 to 5.6.4","Exclude","-","Not released yet","-","9d1c91f7a4c4b0819817372e8eff8fb17475be65","https://github.com/thunderbird/thunderbird-android/pull/11423",""
"main","11424","2026-08-19","app/dependabot","chore(deps): bump gradle-wrapper from 9.6.1 to 9.7.0","Exclude","-","Not released yet","-","c7ce22ccdca080c981f151e997dabac99fa177df","https://github.com/thunderbird/thunderbird-android/pull/11424",""
"main","11421","2026-08-19","app/dependabot","chore(deps): bump dev.detekt from 2.0.0-alpha.5 to 2.0.0-alpha.6","Exclude","-","Not released yet","-","321a3be2c9af1ac29f231004cb934049b35701a7","https://github.com/thunderbird/thunderbird-android/pull/11421",""
"main","11309","2026-08-20","ibrahim-iqbal","Fix crash when camera result arrives after process death (#11296)","Include","-","Not released yet","-","3b5c94387b1ec1d982cfd35f05aa8babf63a9a38","https://github.com/thunderbird/thunderbird-android/pull/11309",""
"main","11426","2026-08-20","app/github-actions","chore(i18n): translations update from Weblate","Include","-","Not released yet","-","a5ee424a06da75aea7a2bb3f547ea7328bc2c88e","https://github.com/thunderbird/thunderbird-android/pull/11426",""
"main","10876","2026-08-20","joshua-grimmett","feat(signature): add HTML signature support","Highlight","-","Not released yet","-","88212e45a941b4534d518c3b3f707eb57e83a0cc","https://github.com/thunderbird/thunderbird-android/pull/10876",""
"main","11431","2026-08-20","dani-zilla","fix(account drawer): Improved the handling of text on small displays","Include","-","Not released yet","-","e95dd32674a496043b438379ef89e098eadefb78","https://github.com/thunderbird/thunderbird-android/pull/11431",""
"main","11413","2026-08-20","snowykte0426","fix(TokenCompleteTextView): let the tab key move focus out of the field","Include","-","Not released yet","-","a59bd679859d369c9a39be147e536b825ffd0a6b","https://github.com/thunderbird/thunderbird-android/pull/11413",""
"main","11430","2026-08-24","rafaeltonholo","chore: enable memtag for all variants","Include","-","Not released yet","-","35b6f7d7397abc6ac690ab2fb6f99e6fbe38f3db","https://github.com/thunderbird/thunderbird-android/pull/11430",""
"main","11433","2026-08-24","rafaeltonholo","chore(docs): update the feature flag documentation with the new architecture","Exclude","-","Not released yet","-","d309e17c40fc73cb4c92fe660d15e9eac44c829c","https://github.com/thunderbird/thunderbird-android/pull/11433",""
"main","11427","2026-08-25","rafaeltonholo","chore(feature-flag): wire multi provider feature flag with apps","Exclude","-","Not released yet","-","9a73e57aa6d4e6aed6073f7d129b8833bc0b3fa0","https://github.com/thunderbird/thunderbird-android/pull/11427",""
"main","11425","2026-08-25","Shaurya2k06","refactor(mail): split message composer into api and internal","Exclude","-","Not released yet","-","5583d236ed7349ed6721240fcc3376af06be1c54","https://github.com/thunderbird/thunderbird-android/pull/11425",""
"main","11416","2026-08-25","snowykte0426","fix(recipient-completion): show which suggestion the keyboard has selected","Include","-","Not released yet","-","6514d1f09b8d9492f6082ff79442a8f3a3820fb8","https://github.com/thunderbird/thunderbird-android/pull/11416",""
"main","11443","2026-08-25","wmontwe","l10n: add weblate placeholder","Exclude","-","Not released yet","-","2d39bce6da6f6e4db74772bc10c3ae77dc2c62c9","https://github.com/thunderbird/thunderbird-android/pull/11443",""
"main","11441","2026-08-25","dani-zilla","fix(docs) Updated the RFC for default-on IMAP IDLE syncing of users' inbox folders.","Exclude","-","Not released yet","-","68d82454d31e9668f7c0478db969f3a4304894d9","https://github.com/thunderbird/thunderbird-android/pull/11441",""
"main","11429","2026-08-25","rafaeltonholo","chore(feature-flag): migrate legacy hard-coded FeatureFlagKey to generated keys","Exclude","-","Not released yet","-","4736f2ec65eb4fed0af2c37f347df210579515c6","https://github.com/thunderbird/thunderbird-android/pull/11429",""
"main","11446","2026-08-25","rafaeltonholo","chore(i18n): weblate sync reconciliation","Exclude","-","Not released yet","-","61afdd69af343fe76f11109d87352db34d9ce524","https://github.com/thunderbird/thunderbird-android/pull/11446",""
"main","11447","2026-08-25","rafaeltonholo"," chore(feature-flag): connect Secret Debug Screen with new Feature Flag architecture","Exclude","-","Not released yet","-","71686b77292985633ee17a6ddd27c02ec87543cf","https://github.com/thunderbird/thunderbird-android/pull/11447",""
"main","11448","2026-08-25","app/dependabot","chore(deps): bump ch.qos.logback:logback-classic from 1.6.2 to 1.6.3","Exclude","-","Not released yet","-","4a9d0f92dca73452749b6d61fec14ccce99b9a22","https://github.com/thunderbird/thunderbird-android/pull/11448",""
"main","11432","2026-08-25","danielcoderman","fix(identity): use correct sender identity for non-draft messages edited as new messages","Include","-","Not released yet","-","dce4a7d674798bab9425e828d3c855d17d8c277c","https://github.com/thunderbird/thunderbird-android/pull/11432",""
"main","11451","2026-08-26","rafaeltonholo","chore(feature-flag): feature flag legacy code cleanup","Exclude","-","Not released yet","-","8623ca9860e13e5a9360b1cb469ffc872c61910d","https://github.com/thunderbird/thunderbird-android/pull/11451",""
"main","11453","2026-08-26","app/github-actions","chore(i18n): translations update from Weblate","Include","-","Not released yet","-","6832cf38d36a91d9842ee9c428145689605cfed9","https://github.com/thunderbird/thunderbird-android/pull/11453",""
"main","11449","2026-08-26","app/dependabot","chore(deps): bump okhttp from 5.4.0 to 5.5.0","Exclude","-","Not released yet","-","7d07c55bcfb5def9cecb67632503d8201843ab23","https://github.com/thunderbird/thunderbird-android/pull/11449",""
"main","11450","2026-08-26","app/dependabot","chore(deps): bump com.diffplug.spotless from 8.9.0 to 8.10.0","Exclude","-","Not released yet","-","7d22a23c779e7285328c0e4e49fa367d8c52a170","https://github.com/thunderbird/thunderbird-android/pull/11450",""
"main","11434","2026-08-26","rafaeltonholo","chore(rfc): add new rfc for the remote feature flags","Exclude","-","Not released yet","-","9d948cebfb5aa9fd9331d2a2e03ec1f14e128148","https://github.com/thunderbird/thunderbird-android/pull/11434",""
"main","11406","2026-08-26","chrisdebian","fix(widget): use theme-aware background for message list widget","Include","-","Not released yet","-","ca97921595dbd1d6bd0b3a8cd48768bf117e83d4","https://github.com/thunderbird/thunderbird-android/pull/11406",""
"main","11458","2026-08-27","rafaeltonholo","fix(message-composer): collapse recipient expander when editing subject or body","Include","-","Not released yet","-","03fa0f893228c68f237f16cdb77e841793d4299d","https://github.com/thunderbird/thunderbird-android/pull/11458",""
"release","11311","2026-08-03","rafaeltonholo","uplift(release): fix: empty trash action not triggering (#11277)","Exclude","-","-","THUNDERBIRD_21_1","bca9a4f4555d8f476fc9d749cf6024c31dfcb388","https://github.com/thunderbird/thunderbird-android/pull/11311",""
